iter	Logloss
0	0.6696882935
1	0.6480077515
2	0.6284855957
3	0.6106887207
4	0.5931628418
5	0.5790228271
6	0.5630932617
7	0.548850708
8	0.5365467529
9	0.5262580566
10	0.5157302856
11	0.5071027832
12	0.4990612183
13	0.4920662231
14	0.4840563049
15	0.4766309204
16	0.4699741211
17	0.4629819946
18	0.4568534241
19	0.4507643433
20	0.4463652344
21	0.4418341675
22	0.4373757019
23	0.4325487061
24	0.4277145996
25	0.423970459
26	0.4209812317
27	0.4174133301
28	0.4141685181
29	0.4105759583
30	0.4067033386
31	0.404260376
32	0.4020600281
33	0.3994598694
34	0.3968861694
35	0.395324585
36	0.3934671936
37	0.3906672974
38	0.3884852905
39	0.3860618896
40	0.3842757568
41	0.3825453796
42	0.3813028564
43	0.3802265625
44	0.37829245
45	0.376956665
46	0.3756677246
47	0.3744112549
48	0.3724350586
49	0.3714392395
50	0.3703661804
51	0.369488678
52	0.368703186
53	0.367786377
54	0.3668354492
55	0.3655989685
56	0.3651586304
57	0.3639455566
58	0.3632689209
59	0.3626419067
60	0.3616336365
61	0.360975647
62	0.360211731
63	0.3594829712
64	0.3585882263
65	0.3576938477
66	0.356986084
67	0.3564136658
68	0.3557521362
69	0.3551507874
70	0.3542753296
71	0.3538444214
72	0.3534067383
73	0.3529198914
74	0.3525113831
75	0.3515577087
76	0.3510861206
77	0.3506011963
78	0.350211853
79	0.3497493896
80	0.3493901978
81	0.3488374634
82	0.3484767456
83	0.3481571045
84	0.3478830566
85	0.3476550293
86	0.3468173828
87	0.3464639282
88	0.3460696411
89	0.3457157593
90	0.3449840698
91	0.3446775513
92	0.3442628784
93	0.3440186462
94	0.3436905212
95	0.3432944336
96	0.3429039917
97	0.3426131287
98	0.342162384
99	0.341760376
100	0.3412370911
101	0.340802063
102	0.3405517578
103	0.3402855835
104	0.3401798401
105	0.3399555054
106	0.339569458
107	0.3393224487
108	0.3388881226
109	0.3386497803
110	0.3384810181
111	0.3381751099
112	0.3379139404
113	0.3374578247
114	0.3372971191
115	0.337091217
116	0.3369243164
117	0.3365741577
118	0.3364195862
119	0.3362597656
120	0.3361443481
121	0.3359712524
122	0.3358408203
123	0.3356306763
124	0.3354465637
125	0.3353268127
126	0.3351807251
127	0.3350012817
128	0.3348513794
129	0.3345116272
130	0.3342567749
131	0.334088562
132	0.3338327332
133	0.3337180481
134	0.3333435669
135	0.3330710754
136	0.3328153687
137	0.3326281128
138	0.3324761963
139	0.3323478394
140	0.3322384033
141	0.3321053467
142	0.3319078369
143	0.3317470703
144	0.3316306763
145	0.3315107727
146	0.3313557739
147	0.3312472534
148	0.3310016785
149	0.3308986816
150	0.3307431641
151	0.3306550293
152	0.330576355
153	0.3304838562
154	0.330407074
155	0.3302365723
156	0.3301384277
157	0.3300372314
158	0.3299525146
159	0.3297651672
160	0.3294627686
161	0.3293265381
162	0.3292172852
163	0.3290792847
164	0.3287955933
165	0.3287417297
166	0.328640686
167	0.3285716858
168	0.3284892578
169	0.3284182129
170	0.3283092041
171	0.3282203064
172	0.3280862427
173	0.3279556274
174	0.3278952332
175	0.3278071899
176	0.3277325745
177	0.3275020142
178	0.3274046631
179	0.3271383667
180	0.3270501099
181	0.326927063
182	0.3267791748
183	0.3266090088
184	0.326447113
185	0.3262977905
186	0.3262002869
187	0.3260213623
188	0.3258151245
189	0.3256499329
190	0.3255494385
191	0.3254539185
192	0.3253919067
193	0.3252598267
194	0.3251791992
195	0.3250536804
196	0.3249182129
197	0.3248337402
198	0.3246958923
199	0.3245476685
200	0.3244509888
201	0.3243947754
202	0.3242825928
203	0.3241917725
204	0.3241291504
205	0.3240372925
206	0.3239755859
207	0.3237322998
208	0.3236757202
209	0.3236032715
210	0.3234892273
211	0.3233395386
212	0.323220459
213	0.3231170044
214	0.3230047913
215	0.3227789307
216	0.3225380859
217	0.3224491272
218	0.3223663025
219	0.3221818848
220	0.3220936279
221	0.322044342
222	0.3219752197
223	0.3218619995
224	0.3217611084
225	0.3216855774
226	0.3215672913
227	0.3215123291
228	0.3214071045
229	0.3213265686
230	0.3212688599
231	0.3212126465
232	0.3211513367
233	0.3210794678
234	0.3210270386
235	0.3209503174
236	0.3208936768
237	0.320803772
238	0.3207421875
239	0.3206748657
240	0.3205568848
241	0.3204986267
242	0.3204480286
243	0.320359375
244	0.3202888794
245	0.3201934509
246	0.3201283875
247	0.3200120239
248	0.3199204712
249	0.3198660889
